Time,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,VelocityAV1,VelocityAV2,VelocityAV3,Accel1,Accel2,Accel3,Accel4,Accel5,Accel6,AccelAV1,AccelAV2,AccelAV3,Headway1,Headway2,Headway3,Headway4,Headway5,Headway6,HeadwayAV1,HeadwayAV2,HeadwayAV3,StdDV(Headway)
0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,44.0,316,45.0,45.0,90.37560511553988
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000004,0.9000000000000004,0.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,45.16319999999996,45.0,45.16320000000002,45.0,45.1632,44.0,315.85600000000005,44.855999999999995,44.855999999999995,90.31932084421364
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000017,2.4000000000000017,2.4000000000000017,2.2635435385776024,2.2635435385776024,2.2635435385776024,2.2635435385776024,2.2635435385776024,2.1677912737144656,3,3,3,46.03319999999991,45.000905417415424,46.03320000000005,45.000905417415424,46.03320000000001,44.00090541741543,315.0160000000001,44.01690541741539,44.016905417415416,90.00391915607823
1.5,1.1621419048033823,1.131771769288801,1.1621419048033836,1.131771769288801,1.1621419048033832,1.0838956368572326,3.900000000000003,3.900000000000003,3.900000000000003,2.4712495306718636,2.2635435385776024,2.47124953067187,2.2635435385776024,2.4712495306718685,2.1677912737144656,3,3,3,47.35553404357404,45.02763663431915,47.355534043574124,45.02763663431921,47.355534043574046,44.04008442875141,313.707812865583,42.74380151281619,42.74380151281629,89.51967759354103
2.0,2.486905979078433,2.2635435385776037,2.4869059790784394,2.2635435385776037,2.486905979078437,2.1677912737144673,5.399999999999994,5.399999999999994,5.399999999999994,2.855231627549739,2.272597712731913,2.855231627549753,2.272597712731913,2.855231627549749,2.176849098506213,3,3,3,48.807982232200516,45.11168353201805,48.80798223220063,45.111683532018105,48.80798223220064,44.160517187098264,312.19157354959447,41.28657987119186,41.28657987119186,88.97243782343169
2.5,3.8970879944947563,3.3371735197057775,3.8970879944947687,3.3371735197057784,3.897087994494762,3.1987375519482675,6.899999999999984,6.899999999999984,6.899999999999984,2.8168593428784012,2.0535421180217077,2.8168593428784114,2.053542118021713,2.816859342878403,1.9782182993623965,3,3,3,50.31709897464532,45.335252255222656,50.317098974645376,45.33525225522254,50.317098974645376,44.44348371607155,310.45767790491163,39.633467009662525,39.633467009662695,88.36236761450314
3.0,5.2761265307859775,4.309603871973543,5.276126530785995,4.309603871973545,5.276126530785987,4.139236034208336,8.39999999999998,7.774563110114692,7.774563110114749,2.7268596056742958,1.8731578754594334,2.726859605674305,1.873157875459437,2.7268596056743064,1.8204954394442292,3,-0.14678296502040045,-0.14678296502029475,51.87810570301809,45.74659415945257,51.77954722474897,45.74659415945243,51.77954722474897,44.932816351787,308.4648821408583,37.822804485334814,37.82280448533501,87.67738695938773
3.5,6.599451984527061,5.204488295844029,6.59945198452708,5.20448829584403,6.5994519845270725,5.013662578404782,9.899999999999993,7.391656588952047,7.391656588952142,2.6089688963300723,1.745053452630085,2.608968896330073,1.7450534526300736,2.6089688963300777,1.715064530319552,3,-0.8959133712224396,-0.8959133712224023,53.513524365029355,46.36747300232139,52.58742697879373,46.367473002321105,52.587426978793765,45.64466760186363,306.17403170967003,36.43039755530913,36.430397555309554,86.87938514605771
4.0,7.867950139990407,6.0491201443117655,7.850110065443024,6.04912014431176,7.850110065443021,5.848494155093819,11.400000000000006,7.088351006876284,7.088330819590439,2.509283362221105,1.6693552566967969,2.361584268975795,1.669355256696786,2.36158426897581,1.6594080928005663,3,-0.36664707917304185,-0.3671556443706985,55.25191494487933,47.20100549205182,52.55791124753753,47.19872250577012,52.5579096732173,46.574292744933956,303.55906338672935,35.66457939705566,35.66458036420448,85.93938670783817
4.5,9.093919012076693,6.866713283910149,8.897533505059386,6.866713283910137,8.897533505059391,6.665419451657628,12.900000000000018,7.017436201608303,7.014098356292846,2.439559741993686,1.6340278001692565,1.8306215016028886,1.6340278001692294,1.8306215016029148,1.640721859620168,3,0.0446947697327158,0.0259833217972823,57.11774384591985,48.241809412301905,51.86579804418591,48.19005764436156,51.865209748691726,47.666458390028694,300.60609192315445,35.40116963257583,35.40168383388945,84.8572916626603
5.0,10.293200257955418,7.674674925586484,9.666462927404844,7.674285543718534,9.666462729819028,7.479707815031922,14.40000000000003,7.114072119346978,7.092902464162425,2.401807082804226,1.628996247286603,1.2663401016126836,1.6246145757952444,1.26633387371012,1.6444188318031103,3,0.34872669848289317,0.29113615064909426,59.12819075769556,49.48180608065644,50.73524117926729,49.222148980754156,50.72875756017666,48.79772118043495,297.3104137679046,35.53302840837716,35.53902288744895,83.64247557063317
5.5,11.481052379817749,8.486135466137476,10.166917704032223,8.47571817758661,10.16680826567418,8.293528975307664,15.900000000000043,7.341179521156674,7.283043065149644,2.3928350348230207,1.6471722684583856,0.7640356426014661,1.6003800139817825,0.7632363581625977,1.6299753573260278,3,0.5966531663215989,0.49989321021434074,61.29256510056854,50.91324495564044,49.377289504749456,50.159728143695276,49.35064770800054,49.8295537417483,293.67213236342417,35.986035749014036,36.00927873985796,82.30481056115607
6.0,12.670444911980672,9.3114195088911,10.442067696887282,9.254645074797095,10.440723141323353,9.08895214472148,17.400000000000013,7.677623108635899,7.564604928160251,2.4069958011786685,1.684153182195539,0.3634078991088572,1.5288186745737473,0.3583094871444329,1.5652308784012436,3,0.8095314109813792,0.6758692289030922,63.61309164554416,52.529634294098855,47.97465713200114,50.88651977209963,47.904583158138934,50.642976246641524,289.68702505358425,36.70559026230819,36.75543328199518,80.84950589153124
6.5,13.871262211966183,10.159082626127505,10.545765343621621,9.98359988806343,10.539822800187993,9.83711996621993,18.89999999999998,8.1097093808833,7.922928078080691,2.437695019487819,1.7370264797587471,0.07442659777570093,1.3973261370038437,0.059844394536266665,1.4379077527267476,3,0.9990881351433347,0.8209302432804293,66.08629362064812,54.32545022055939,46.676797162766945,51.32288917855655,46.53209331666942,51.15551422400107,285.3386463065461,37.65018135611615,37.7169347360753,79.27460335309863
7.0,15.090027761572344,11.036423114738973,10.533127933338028,10.633083483693072,10.516558026870833,10.507259950935824,20.39999999999995,8.628168791780773,8.341959425788984,2.478093697667527,1.8034712749282757,-0.10596582065999594,1.2095811691745433,-0.13540720486721936,1.2517829017636655,3,1.1725192931721455,0.9288735705706725,68.70462108206692,56.295235921868255,45.60012271194918,51.43134560831871,45.340885223805216,51.3262270437952,280.5952861982789,38.787819616718764,38.82612729119438,77.57120381465963
7.5,16.329901759725185,11.94959653303653,10.45594070260561,11.17818935078874,10.420058034967868,11.073159103533612,21.899999999999917,9.226436657167671,8.802134904201623,2.5215421799128728,1.8810910447712974,-0.18720986763364567,0.9793909988860019,-0.23692450843890261,1.020439250727958,3,1.334180438725272,0.9920469919950705,71.4581407885571,58.43249698070974,44.830404166572634,51.21491362677429,44.40419742967161,51.153994058862786,275.41083233398666,40.09372180387925,40.01059836234731,75.72520759120532
8.0,17.59085116767426,12.903465038385203,10.360367996125385,11.602378403163648,10.293598987130421,11.51681063410901,23.399999999999885,9.899555964299784,9.280716396649138,2.5618706521050916,1.966996871384402,-0.18206720534372461,0.7258305325452814,-0.258567992162428,0.7625576270687248,3,1.4865755610737215,1.0053469541331594,74.33617957977549,60.728663452015724,44.42611682059723,50.71138891487837,43.76141500180323,50.6717860661344,269.7280946748788,41.54865814715805,41.19837715013355,73.71956973015655
8.5,18.86994525604731,13.901290279440728,10.285799601184811,11.899108535285018,10.17275119297014,11.829996166212528,24.899999999999853,10.643435037722453,9.75362188432542,2.593611061689013,2.0575887094586913,-0.10479804799047018,0.46951462384041454,-0.2173265480023424,0.49832241145504813,3,1.6308861683225149,0.968521549875079,77.32884871536726,63.172293571721866,44.42217401802213,49.985484030348175,43.420383408135876,49.93860670244859,263.483394216215,43.137623679535466,42.32380717626731,71.53651495847618
9.0,20.161747688967512,14.944359763983302,10.26444351986909,12.071922823653363,10.084155472999678,12.014361644133768,26.37665370253411,11.454283451697444,10.197973937110792,2.612164589868224,2.1485018479949387,0.030133511086771134,0.23005235764977958,-0.13193011185052583,0.24686856405121207,2.493998406790878,1.767216193553935,0.8868833686602748,80.42678648733488,65.74862759139461,44.83371683359604,49.12022719198333,43.36163578465752,49.030302467080396,256.61241035448694,44.84865325697092,43.332644425906096,69.1597911600397
9.5,21.458776397714452,16.031623664847857,10.32148424422246,12.133503371224966,10.045050183930167,12.080419683275748,26.858793277283493,12.328125011944106,10.594639942571416,2.6139038663138865,2.2347008153209256,0.20904982161079783,0.024391638365311552,-0.021234502808190572,0.024482765170215248,0.10355120150025954,1.894690123138035,0.7706140672500464,83.38038383829627,68.43954508836305,45.659696655195205,48.20856499298529,43.54434132985223,48.03022293283651,249.27844192160364,46.67170880609916,44.18559171084718,66.6456000886884
10.0,22.751816499655824,17.15941187913606,10.475648452733353,12.104081282971102,10.06360706658024,12.04581736628756,26.848265520894163,13.260343483989109,10.930193469323738,2.588824468362829,2.3107073438153893,0.4196975635671919,-0.13415871986902597,0.09736982314530884,-0.1565807476828898,-0.030452622896248727,2.0115077842036975,0.6331328522755946,85.74255135910414,71.22391362691098,46.886031983378246,47.34581983998183,43.913405840722916,47.02057376192383,241.88499969662337,48.59763887041606,44.86002771421735,64.11850343978637
10.5,23.98365569721412,18.321293521235614,10.739988755461725,12.009492822407175,10.139995478442703,11.933149729273637,26.841789882733305,14.244949681343236,11.19799623740921,2.3242051217003903,2.3709426262949336,0.651479971901787,-0.2364025743166828,0.20925377499155504,-0.2887559863731809,-0.005689051085974839,2.111736511083279,0.4891453407872064,87.46269158517384,74.06960144761644,48.48816266493833,46.623396931431245,44.406949465169504,46.07514270425469,234.4593849834103,50.6172819882604,45.3500734139881,61.580315518931315
11.0,25.04064814662809,19.508126430656283,11.122685498383133,11.879101791652504,10.267982490316552,11.767569536888981,26.838987373098124,15.26957865179292,11.3983775973132,1.9206433179877649,2.4100819985808024,0.895305830475357,-0.27733624351436426,0.3033902782179276,-0.36933194062718755,-0.006514677369573008,2.177813684100029,0.3528809317017725,88.60778780981218,76.89721029016238,50.43179361785451,46.12391078219571,44.96338806064222,45.253873348978985,226.9643833755938,52.72187073137633,45.66533868419717,59.015326001398456
11.5,25.889616572271063,20.70670991340012,11.62769308069129,11.743766453378976,10.436831557693216,11.574430844657128,26.836013326401304,16.318969702190408,11.538075077275266,1.50115342974075,2.412706797943258,1.1430823225464204,-0.25589710199616816,0.3727185168179428,-0.40015064733164857,-0.005385778821091591,2.217911753230975,0.23678408503553322,89.27665921045656,79.59817252565239,52.67210730158092,45.91770986912664,45.52750088337953,44.59952825317248,219.3798915745022,54.9046235143926,45.828747342272464,56.41544971104101
12.0,26.538516033010772,21.8918818622466,12.254891284066053,11.634002036745263,10.633278132364017,11.37718970636625,26.834214031421965,17.3828397565536,11.629169245629463,1.1224381401121535,2.351688499017774,1.3860874151041742,-0.17443705684192318,0.4141049474361069,-0.3868817647955702,-0.0018450079101315353,2.2381231120085774,0.15069097058869332,89.57273061754074,82.0696196815635,55.15718170083272,46.06058129232818,46.05508971151232,44.136451290682984,211.69808054583677,57.15535917246689,45.87381576709913,53.77756370602577
12.5,27.014305621097154,23.029038089642473,12.999623706585202,11.578455477116279,10.843407195118877,11.195750143513534,26.834447992721035,18.450441600268217,11.687717014605846,0.8064071663248584,2.217955085104589,1.6151424440932318,-0.038011028886914745,0.4280045235536353,-0.3379750263410294,0.0030063181929040894,2.231722504080925,0.10138587662031781,89.59031267726255,84.23414954982115,57.831306764886506,46.59216529619218,46.51604527404507,43.87123699571629,203.9214167539302,59.45328740297964,45.84171470663364,51.10281968797845
13.0,27.34969324143274,24.08310307199144,13.852934701717361,11.602744759394046,11.05430746051088,11.045379005906764,26.837171183946474,19.506674952552142,11.732295077789209,0.556585854163388,2.018686369857975,1.8221450599137072,0.14633079168871177,0.41791336247821964,-0.2634462801677973,0.008485530400283992,2.1888176300440314,0.09269938946187256,89.40868084354076,86.04757646448394,60.63571008497695,47.53497003140251,46.89580936962162,43.794962926904205,196.06082913933483,61.766293602784685,45.778388231298976,48.39644622479897
13.5,27.576296487524786,25.025786089711776,14.801998471031938,11.728603956129756,11.255416026457667,10.936229184292134,26.842548350102373,20.53248504715497,11.78267937761734,0.36662339175488445,1.7727374406572767,1.9994537180348182,0.37006470098508726,0.3896781326159644,-0.17367249335278567,0.014051519801305368,2.103618463334855,0.12587731986510997,89.09098181826721,87.49797879677175,63.50837444713534,48.89410285506699,47.19539191600771,43.88654957329365,188.13340833973837,64.05504764842885,45.731880329088625,45.66735797194244
14.0,27.72142135849346,25.839591526784368,15.83018905342794,11.973272232579466,11.439497280692496,10.873427892144118,26.850525257610304,21.507697824560303,11.858687729906155,0.22636384807614435,1.5035308257010516,2.1393382449533096,0.6236688054367747,0.35072659376911486,-0.07834532983135888,0.019335199465265518,1.9774273723164146,0.1998995890261711,88.68561505567834,88.59954550945469,66.38470101467595,50.6574775463115,47.43019574403044,44.11677997612691,180.15997853422198,66.2789643503155,45.749919713905626,42.927402440582874
14.5,27.807085372497912,26.518590237571384,16.917069836996017,12.349082073770857,11.60323663572275,10.857625514091044,26.860918061303234,22.41439710245484,11.979185565364494,0.12515254188132588,1.2332715931746223,2.2343081657545394,0.8969073722298138,0.30929726553628356,0.014324121959905511,0.02416490002194216,1.8181025725379074,0.311861562138099,88.22862562596049,89.38436113894909,69.19981558666126,52.79626535644928,47.62791776459633,44.45253185280646,172.16279759484428,68.40160596310608,45.87779634878899,40.19031925633012
15.0,27.850246034012216,27.06681271705508,18.038766940218157,12.863115349746465,11.747461711312544,10.885870197516766,26.87350830786356,23.23947866030255,12.161289815420995,0.053480714409084834,0.9793449202517976,2.2782791790522863,1.1788165696854316,0.2737158966088206,0.09811965220921799,0.028565966824569244,1.6374241807061922,0.45740546354578204,87.74628435581644,89.89435256205036,71.8922971224963,55.26561286868014,47.825808420258056,44.86083636872932,164.16357552962597,70.39424281584525,46.15650390560117,37.470630604843606
15.5,27.863558288119386,27.495422732856383,19.16902735258871,13.516798157226813,11.877023656605344,10.952671614572083,26.88813285059873,23.975772472285627,12.41976330159962,0.0035890887142698835,0.7529595237626716,2.268048701989583,1.457508670527943,0.2517572819078211,0.16907270369247343,0.03274052675223338,1.4479847647165116,0.6310595483878143,87.2574413459588,90.1746862471112,74.4084333708293,58.00591580488498,48.06756774738446,45.31245871288738,156.18193825476692,72.23730916674202,46.6210436321351,34.7827000583394
16.0,27.856272141695094,27.81966745160957,20.280956763700804,14.30540654159823,12.000390312206504,11.051134313144212,26.904760414743567,24.621813585097783,12.766521600401747,-0.030495773667548326,0.5594804151869731,2.204437939669032,1.720069589638711,0.2501288351994291,0.22549772445700036,0.03703285747518059,1.2607788615588915,0.8263538321837263,86.77549417830164,90.26910135902563,76.70593267368292,60.945046574337425,48.400111294587674,45.78478170960034,148.2344040639091,73.92015318499364,47.29876795870203,32.14014245527958
