Time,Velocity1,Velocity2,VelocityAV1,Accel1,Accel2,AccelAV1,Headway1,Headway2,HeadwayAV1,StdDV(Headway)
0.0,0,0,0,0.0,0.0,0.0,45.0,45.0,255,121.2435565298214
0.02,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.04,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.06,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.08,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.1,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.12,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.14,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.16,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.18,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.2,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.22,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.24,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.26,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.28,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.3,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.32,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.34,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.36,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.38,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.4,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.42,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.44,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.46,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.48,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,255.0,121.2435565298214
0.5,0.0,0.0,0.0,0.0,0.0,3,45.00120000000001,45.0,255.0,121.24321012114451
0.52,0.0,0.0,0.06,0.0,0.0,3,45.003600000000006,45.0,254.99879999999996,121.24182449237554
0.54,0.0,0.0,0.12,0.0,0.0,3,45.00720000000001,45.0,254.9964,121.2393996613312
0.56,0.0,0.0,0.18,0.0,0.0,3,45.012,45.0,254.9928,121.23593565473892
0.58,0.0,0.0,0.24,0.0,0.0,3,45.018,45.0,254.988,121.2314325082402
0.6,0.0,0.0,0.3,0.0,0.0,3,45.02520000000001,45.0,254.98199999999997,121.22589026639481
